name,translation,cookware_note,serves,cooking_time,detail_fetched,error,event_target
Aamer Chatni,Mango Chutney,,,5 minutes,True,,DataList$ctl01$dlst$ctl00$ctl00
Aloo Gobi ki Tehari Rice with Potatoes and Cauliflower Futura Hard Anodised 3 Litre Handi,Saucepan,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl01$ctl00
Aloo Matar,Pea and Potato Curry,,12,02 minutes,True,,DataList$ctl01$dlst$ctl02$ctl00
Aloo Talasani,Potatoes - Saraswat Style,Futura Hard Anodised 3 Litre Handi (Saucepan),,10 minutes or less,True,,DataList$ctl01$dlst$ctl03$ctl00
Aloor Dum,Spicy Potatoes - Bengal Style,,10,1 minute,True,,DataList$ctl01$dlst$ctl04$ctl00
Aloor Potoler Dalna,Vegetable Curry - Bengal Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl05$ctl00
Aloor Potoler Rasa,Potato and Parwal Curry - Orissa Style,,10,2 minutes,True,,DataList$ctl01$dlst$ctl06$ctl00
Alu Tikki,Potato Cutlets - Sindhi Style,on 26 cm Futura Hard Anodised Flat Tava (Griddle),,10 minutes or less,True,,DataList$ctl01$dlst$ctl07$ctl00
Alu Tikki,Potato Cutlets - Sindhi Style,Futura Hard Anodised Frying Pan 25 cm,,,True,,DataList$ctl01$dlst$ctl08$ctl00
Alu Tikki,Potato Cutlets – Sindhi Style,Futura Nonstick Flat Tava 30 cm,,10 minutes or less,True,,DataList$ctl01$dlst$ctl09$ctl00
Alu Tikki,Potato Cutlets – Sindhi Style,Futura Nonstick Frying Pan 26 cm,,,True,,DataList$ctl01$dlst$ctl10$ctl00
Apple and Date Pudding,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl11$ctl00
Aratikaya Vepudu,Raw Banana - Andhra Style,,10,00 minutes,True,,DataList$ctl01$dlst$ctl12$ctl00
Aratipuva Vepudu,Banana Flower - Andhra Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl13$ctl00
Avial,Vegetables in Coconut Gravy,Futura Hard Anodised 3 Litre Handi (Saucepan),6,,True,,DataList$ctl01$dlst$ctl14$ctl00
Avial,Vegetable in Coconut and Curd - Kerala Style,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl15$ctl00
Bandha Kopi Tarkari,Cabbage with Peas,,6,2 minutes,True,,DataList$ctl01$dlst$ctl16$ctl00
Batata Wadas,Potato Balls in Thick Batter,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,10 minutes or less,True,,DataList$ctl01$dlst$ctl17$ctl00
Bhuni Chana Dal aur Paneer,Fried  Bengal Gram with Cottage Cheese,,12,4 minutes,True,,DataList$ctl01$dlst$ctl18$ctl00
Breakfast Tomatoes Futura Nonstick Frying Pan 26 cm,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl19$ctl00
Breakfast Tomatoes Futura Hard Anodised Frying Pan 25 cm,,,2,,True,,DataList$ctl01$dlst$ctl20$ctl00
Cabbage and Peas - Bengal Style Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl21$ctl00
Cabbage in Milk Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,,6,about 6 minutes,True,,DataList$ctl01$dlst$ctl22$ctl00
Cabbage Rolls Futura Hard Anodised Cook-n-Serve Bowl 3 Litre and Futura Hard Anodised Stewpot 3 Litre,,,,10 minutes or less,True,,DataList$ctl01$dlst$ctl23$ctl00
